Protein ID,C1_1 MaxLFQ Intensity,C2_2 MaxLFQ Intensity,C3_3 MaxLFQ Intensity,C4_4 MaxLFQ Intensity,C5_5 MaxLFQ Intensity,D1_1 MaxLFQ Intensity,D2_2 MaxLFQ Intensity,D3_3 MaxLFQ Intensity,D4_4 MaxLFQ Intensity,D5_5 MaxLFQ Intensity,H1_1 MaxLFQ Intensity,H2_2 MaxLFQ Intensity,H3_3 MaxLFQ Intensity,H4_4 MaxLFQ Intensity
Label,COVID,COVID,COVID,COVID,COVID,Dengue,Dengue,Dengue,Dengue,Dengue,Healthy,Healthy,Healthy,Healthy
P00761,865997.8,0,0,793092.9,28971.68,186253.94,806019,2678786.5,0,171013.4,0,0,282026.9,2144450.5
P02769,0,0,173888.84,50487.1,91287.87,0,103497.19,60846.023,216855.52,201248.52,0,358858.25,56232.406,0
A0A075B6K4,0,0,0,162483.67,114291.75,179669.83,111986.74,106799.68,0,0,102021.734,0,87179.34,0
A0A075B6P5,946097.9,413012.03,197722.5,2506176.5,1263500.6,1374167.4,885848.56,1415969.2,628776.94,0,1115199.6,0,1463160.6,712410.2
A0A075B6Q5,0,0,0,0,114218.54,0,67819.125,47360.03,532764.44,0,0,0,238236.16,0
A0A075B6R9,163318.62,0,0,65349.5,307575.7,180270.95,746976.75,130357.945,0,0,264139.6,0,134207.77,0
A0A075B6S2,0,0,0,89660.28,0,159779.03,35482.367,0,0,0,0,0,61333.133,0
A0A075B6S6,0,0,0,50779.125,259989.69,0,0,95014.445,0,0,0,0,208259.25,0
A0A087WSY4,0,0,0,47635.215,0,0,48858.574,57432.375,0,0,0,0,37746.523,0
A0A0A0MRZ8,236549.67,0,80490.3,389463.94,617931.25,397608.66,635365.25,408147.03,326254.12,0,359268.78,0,462338.44,0
A0A0A0MS15,134211.52,0,126746.54,251481.47,189163.19,193660.3,229109.33,142267.7,0,0,175813.17,0,131429.8,0
A0A0B4J1U7,0,0,0,44857.53,279167.1,0,124791.516,119066.98,0,0,0,0,177119.48,0
A0A0B4J1V1,0,0,0,383012.4,228530.4,97162.38,1334226,182541.72,0,0,92511.96,0,318363.78,0
A0A0B4J1Y8,0,0,0,0,0,0,201823.9,63461.895,0,0,0,0,27698.37,0
A0A0C4DH31,0,0,0,242541.05,117162.64,0,134272.4,121672.01,0,0,0,0,103182.41,115544.234
A0A0C4DH34,0,0,0,75983.234,44415.45,0,60571.008,57010.184,0,0,0,0,68945.055,0
A0A0C4DH35,0,0,0,101145.99,110905.14,0,104931.914,69962.16,0,0,0,0,106305.53,0
A0A0C4DH38,0,0,0,143806.73,147025.78,541156.2,150340.34,159210.12,222053.52,0,0,0,104776.08,0
A0A0C4DH41,156789.58,0,0,584342.3,207554.83,333471.88,541858,398949,0,0,188818.64,0,354361.56,0
A0A0J9YX35,0,0,0,73088.64,0,438818,314181.47,93469.26,0,0,643270,0,157211.78,0
A5A3E0,0,0,0,31558.967,80452.4,518911.53,57871.457,140275.84,680335.44,713622.44,0,0,71003.84,0
B9A064,1302748,0,134700.53,382013.16,473365.6,907635.2,766679.9,347563.94,0,0,1011844.8,308686.1,203110.98,0
O14791,163812,155802.11,82421.46,70847.07,164935.3,169452.05,209953.75,162512,0,0,289914.28,0,105610.25,141779.83
O43866,0,0,189748.88,82846.68,341009.94,96367.01,378276.78,131100.34,0,0,0,0,124904.13,0
O75636,0,0,0,33994.402,142592.03,0,0,137876.67,0,0,0,0,179487.8,0
O75882,0,0,0,0,74585.91,0,83524.29,65674.11,0,0,0,0,113770.63,129216.516
O95196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O95445,266365.16,0,0,128892.234,189724.67,169370.3,363524.56,146305.39,243281.94,343348.75,175397.39,392087,192097.89,344246.62
P00441,0,0,92947.57,0,0,0,0,0,0,2117588.2,0,0,0,0
P00450,2287729.2,1583136.8,1657581.5,3969596.8,2220182,3477546,2940003.5,4100798.5,1692798.2,661820.7,4024532.8,0,4055012.5,2346463.2
P00734,839707.56,1949218.5,2084585.6,806109.44,549258.6,694426.7,1280731.6,966995.3,2433545.5,2526440,659525.1,2521550.2,925634.75,887660.5
P00736,427429.56,0,250643.4,277563.6,411885.06,667780.06,319593.94,385082,296345.56,0,730753.8,0,326199.53,0
P00738,5872406,1722458.5,6709398,13971344,14979035,7744196.5,3984401.8,9084907,4905520,2952949,6107906,2571574,2576720,6044711.5
P00739,430354.78,0,349947.56,75788.2,361518.7,295378.53,1522693.2,2230504.8,0,0,332810.62,0,320319.4,898984.94
P00747,526691.75,1357051.5,2670917,1534674.2,1611332.4,711671.5,2474347.2,1772672.2,1746168.8,827126.2,262798.7,1694053.4,1561306.1,1859642.8
P00748,1252725.6,0,746984.3,136308.66,298284.12,2796666.2,561700,156692.28,786249.56,0,1006220.56,647835.56,287716.94,246878.78
P00751,3248937.8,6414929,1677499.9,3216223.2,4421572,4300996,1591926.9,2938907,2272839.8,1850071.9,2890207.8,2353539.2,1672503.2,1977022.9
P00915,0,0,413746.53,0,0,416648.22,0,0,967820.5,4182325.5,0,0,0,0
P01008,2445019,960522.94,959381,969244.06,927636.75,2282893.2,1838158.4,996272.3,935881.06,1198642.2,1327174,677164.25,1071984.6,794057.75
P01009,27446150,14709959,13094095,37017276,29581496,21000436,39685060,44018280,19091542,20716822,23543370,17342548,23490136,37884364
P01011,2446490,764893.4,1605830.1,1951948.9,1768774,2162740,2298597.5,2754353,785544.44,872172.6,2320957.2,1041470.5,880293.44,1121377
P01019,853587,696542.25,1930665.4,1503227.8,923682.3,1816842.8,1155151.8,994045.06,331976.72,0,1344310,0,1080055.4,1077586.5
P01023,3044933.8,3042608.8,2046152.1,6331454.5,6499129,9477147,9684370,8367840.5,2709104.8,2483761.2,7618298.5,2102610.5,14212982,3385883.8
P01024,5029881.5,2399421.5,3501874.5,8406935,6183212,7883742.5,6528060,8929841,3167557.5,2343185,8868206,3086486.2,11117476,4621206.5
P01031,672203.44,584560.3,609309.6,537800.8,312784.97,1076391.4,354652.88,529809.3,0,0,1483752.5,0,922125.4,282240.03
P01042,2390185.2,1441300.9,1201820.1,886399.6,691928.5,1564174.4,932749.44,774992.5,1248670.1,1561034.4,1530763.2,1026744.1,579113.94,1405616
P01591,0,0,0,235610.34,252259.73,0,508513,201823.38,0,0,0,0,182068.4,134007.94
P01593,212939.95,0,172656.28,220842.83,108860.99,339798.25,138084.16,164773.14,139692.97,0,0,0,168268.48,0
P01599,0,0,0,119691.83,83232.31,0,64740.684,105900.24,0,0,0,0,173513.3,0
P01602,314186.66,0,238989.9,307444.44,227288.25,1301024.2,528723.4,447009.44,256068.08,621480.5,860523.44,0,976686.8,0
P01619,931487.56,625933.1,576566.94,1277797.1,527117.3,1680321.4,2158336.8,1038413,1570690.1,526420.3,1665639.6,458040.06,1417032.1,234240.31
P01624,387879.47,237736.06,48929.957,613178.5,728646.25,474300.06,715869.5,420414.53,378843.53,200036.39,591199,0,693619.8,0
P01700,344255.28,0,0,583736.06,307302.75,383142.06,881647.44,448527.2,0,0,387112.6,0,178444.55,216268.44
P01701,0,0,0,77778.484,0,0,0,63998.57,0,0,0,0,0,0
P01714,136559.83,0,0,44791.367,186705.92,530132.1,99038.66,72007.016,0,0,171127.58,0,0,0
P01715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
