Protein ID,D1_1 MaxLFQ Intensity,D2_2 MaxLFQ Intensity,D3_3 MaxLFQ Intensity,H1_1 MaxLFQ Intensity,H2_2 MaxLFQ Intensity,H3_3 MaxLFQ Intensity
Label,Dengue,Dengue,Dengue,Healthy,Healthy,Healthy
P00761,0,952288.94,2653014,0,0,368793.94
A0A075B6K4,213567.6,111689.49,129927.62,0,0,61136.633
A0A075B6K5,727443.56,210838.83,444308.62,279414.03,0,362799.56
A0A075B6P5,3015686,885084.4,1941450.9,1560936.1,0,3397278.2
A0A075B6Q5,0,293600.56,0,0,0,264769.25
A0A075B6R9,206659.67,463023.84,259952.19,397654.8,0,171077.38
A0A087WSY4,0,0,0,0,0,0
A0A0A0MRZ8,474644.94,687207.25,432982.3,427048.4,0,628937.56
A0A0A0MS15,277841.6,187436.03,159911.33,222469.64,0,155049.8
A0A0B4J1Y8,0,247886.55,0,0,0,22006.096
A0A0B4J2H0,0,221511.62,179604.55,0,0,208599
A0A0C4DH31,0,162534.12,126487.01,0,0,107487.94
A0A0C4DH34,0,72931.42,60189.45,0,0,54776.2
A0A0C4DH35,0,132094.9,0,0,0,129345.38
A0A0C4DH38,596319.5,140416.08,206565.72,0,0,75857.66
A0A0C4DH41,403235.22,687920.06,409922.66,282606.2,0,505899.12
A0A0J9YX35,343430,332635.88,634321.8,0,0,164169.36
A5A3E0,548937.3,69680.984,157672.44,0,0,73966.65
B9A064,1527632.4,900906.7,512563.28,1551286.6,307782.5,283023.38
O14791,204133.1,170710.34,157806.08,0,0,87384.06
O43866,0,549036.44,0,0,0,148403.42
O75636,0,0,0,0,0,0
O75882,0,121813.69,0,0,0,142212.86
O95196,0,0,0,0,0,0
O95445,165339.66,337930.53,232366.75,152950.9,379825.53,330726.03
P00450,6485034.5,4458757.5,7540441.5,6626657.5,0,7320041
P00488,0,53457.543,0,0,0,455716.12
P00734,1198528.9,1155494.6,1152760.2,1974017.2,1945413.2,1231096.8
P00736,953858.56,411531.1,471911.3,0,0,426065.4
P00738,15586089,5992285.5,13550235,12769638,3519166.5,5078595
P00739,432466.28,2125373.5,2706182.5,482705.34,0,492716.72
P00747,3170421.2,3633911.2,2046268.9,621323.94,954743.06,1999210.6
P00748,8362468,273111.75,195327.1,1526468.6,859309.5,477963.03
P00751,6348618.5,2310464.8,5359584,4651646,2111592.8,1873452.4
P01008,3515426.5,3150061,1324396.4,1837252.2,477753.03,1778228.6
P01009,58464116,67814100,70910320,59910500,24807540,47544600
